"restaurant_id","restaurant_name","total_revenue","revenue_rank"
77,"The Food Studio 77","5228.25","89"
214,"Chai & Chat 214","5223.16","90"
223,"Annapurna Bhavan 223","5209.31","91"
54,"Royal Tandoor 54","5206.84","92"
167,"Taste of Punjab 167","5153.39","93"
46,"The Hungry Panda 46","5077.01","94"
67,"Golden Spoon 67","5049.71","95"
232,"Caf̩ Masaledar 232","4988.42","96"
238,"Masala Magic 238","4949.20","97"
25,"Chai & Chat 25","4910.43","98"
150,"Rasoi Ghar 150","4845.14","99"
255,"Golden Spoon 255","4782.22","100"
31,"Bombay Bistro 31","4735.75","101"
127,"Tandoori Nights 127","4727.45","102"
274,"Taste of Punjab 274","4711.23","103"
117,"Masala Magic 117","4704.60","104"
278,"Curry Kingdom 278","4661.41","105"
94,"The Food Studio 94","4605.59","106"
115,"Annapurna Bhavan 115","4588.65","107"
286,"Urban Tadka 286","4587.98","108"
205,"Mughal Mahal 205","4586.87","109"
297,"Dragon Wok 297","4564.41","110"
140,"Golden Spoon 140","4557.62","111"
16,"Taste of Punjab 16","4522.62","112"
95,"Rasoi Ghar 95","4502.08","113"
21,"Masala Magic 21","4496.29","114"
148,"Pizza Junction 148","4484.77","115"
195,"Flavours of India 195","4410.94","116"
47,"Caf̩ Masaledar 47","4406.02","117"
239,"Biryani House 239","4390.06","118"
4,"Royal Tandoor 4","4359.09","119"
220,"Dragon Wok 220","4343.35","120"
99,"The Food Studio 99","4317.79","121"
126,"Annapurna Bhavan 126","4305.80","122"
159,"Spice Villa 159","4300.69","123"
118,"Chutney Express 118","4286.45","124"
181,"Delhi Darbar 181","4215.27","125"
207,"Pizza Junction 207","4200.31","126"
244,"Mumbai Masala 244","4171.86","127"
263,"Rasoi Ghar 263","4130.07","128"
154,"The Curry Leaf 154","4112.64","129"
250,"Rasoi Ghar 250","4065.79","130"
248,"Taste of Punjab 248","4061.20","131"
198,"Delhi Darbar 198","4029.99","132"
53,"Chai & Chat 53","3991.22","133"
188,"Rasoi Ghar 188","3982.18","134"
206,"Curry Kingdom 206","3953.87","135"
290,"Saffron Delight 290","3921.07","136"
83,"Mumbai Masala 83","3890.40","137"
13,"Rasoi Ghar 13","3882.11","138"
28,"Dragon Wok 28","3879.29","139"
261,"Curry Kingdom 261","3820.41","140"
199,"Golden Spoon 199","3795.31","141"
80,"Masala Magic 80","3760.65","142"
166,"Spice Villa 166","3753.88","143"
51,"Flavours of India 51","3746.74","144"
66,"Caf̩ Masaledar 66","3746.02","145"
225,"Royal Tandoor 225","3702.71","146"
235,"Biryani House 235","3686.64","147"
240,"Kolkata Kitchen 240","3650.35","148"
173,"Chai & Chat 173","3638.62","149"
182,"Chai & Chat 182","3607.14","150"
61,"Flavours of India 61","3576.26","151"
265,"Burger Factory 265","3560.02","152"
254,"Delhi Darbar 254","3526.72","153"
280,"Taste of Punjab 280","3497.93","154"
134,"Burger Factory 134","3494.25","155"
137,"The Curry Leaf 137","3491.64","156"
48,"Madras Cafe 48","3476.59","157"
162,"Masala Magic 162","3466.00","158"
157,"Rasoi Ghar 157","3459.53","159"
124,"Taste of Punjab 124","3449.34","160"
272,"Annapurna Bhavan 272","3447.26","161"
20,"Pizza Junction 20","3411.51","162"
186,"Flavours of India 186","3398.63","163"
109,"Madras Cafe 109","3397.43","164"
229,"Mughal Mahal 229","3393.46","165"
9,"Delhi Darbar 9","3387.91","166"
70,"Kolkata Kitchen 70","3384.87","167"
128,"Bombay Bistro 128","3377.89","168"
19,"Chai & Chat 19","3342.24","169"
26,"Chai & Chat 26","3329.29","170"
138,"Biryani House 138","3294.28","171"
211,"Bombay Bistro 211","3284.93","172"
191,"Rasoi Ghar 191","3284.28","173"
38,"Curry Kingdom 38","3254.68","174"
170,"Rasoi Ghar 170","3238.72","175"
287,"Curry Kingdom 287","3219.81","176"
175,"Saffron Delight 175","3214.93","177"
97,"Bombay Bistro 97","3167.79","178"
17,"Chai & Chat 17","3156.61","179"
102,"Caf̩ Masaledar 102","3135.88","180"
169,"Flavours of India 169","3132.70","181"
256,"Pizza Junction 256","3077.58","182"
277,"Saffron Delight 277","3062.05","183"
294,"Chai & Chat 294","3020.34","184"
190,"Punjabi Dhaba 190","2962.98","185"
187,"Curry Kingdom 187","2892.83","186"
204,"Kolkata Kitchen 204","2883.38","187"
257,"Madras Cafe 257","2874.00","188"
289,"Royal Tandoor 289","2857.70","189"
27,"The Curry Leaf 27","2846.15","190"
32,"Annapurna Bhavan 32","2814.75","191"
222,"Punjabi Dhaba 222","2798.23","192"
121,"Spice Villa 121","2757.35","193"
33,"Pizza Junction 33","2755.36","194"
132,"The Hungry Panda 132","2712.52","195"
185,"South Spice 185","2695.82","196"
260,"Biryani House 260","2637.30","197"
270,"Golden Spoon 270","2633.55","198"
98,"Pizza Junction 98","2588.98","199"
101,"Saffron Delight 101","2558.36","200"
18,"Delhi Darbar 18","2543.11","201"
180,"Dragon Wok 180","2531.56","202"
183,"Urban Tadka 183","2517.46","203"
111,"Caf̩ Masaledar 111","2506.03","204"
59,"Mughal Mahal 59","2434.58","205"
58,"Curry Kingdom 58","2434.00","206"
264,"Pizza Junction 264","2424.52","207"
130,"Tandoori Nights 130","2416.39","208"
275,"Golden Spoon 275","2374.23","209"
125,"The Hungry Panda 125","2361.01","210"
100,"Chutney Express 100","2318.46","211"
266,"Taste of Punjab 266","2236.04","212"
202,"The Curry Leaf 202","2233.16","213"
141,"Madras Cafe 141","2221.07","214"
43,"The Food Studio 43","2182.36","215"
171,"Golden Spoon 171","2138.26","216"
160,"Taste of Punjab 160","2134.64","217"
87,"Bombay Bistro 87","2129.05","218"
163,"Flavours of India 163","2120.49","219"
8,"Bombay Bistro 8","2117.14","220"
108,"Taste of Punjab 108","2115.30","221"
14,"Madras Cafe 14","2105.12","222"
119,"The Hungry Panda 119","2079.63","223"
123,"South Spice 123","2077.05","224"
107,"Kolkata Kitchen 107","2029.09","225"
50,"Mughal Mahal 50","2013.08","226"
281,"Masala Magic 281","2012.05","227"
62,"Pizza Junction 62","1982.68","228"
227,"South Spice 227","1919.07","229"
149,"Golden Spoon 149","1899.37","230"
299,"Delhi Darbar 299","1864.71","231"
45,"Saffron Delight 45","1854.71","232"
37,"Masala Magic 37","1842.53","233"
139,"Dragon Wok 139","1830.72","234"
6,"Madras Cafe 6","1827.22","235"
110,"Taste of Punjab 110","1825.52","236"
105,"Caf̩ Masaledar 105","1820.26","237"
129,"Pizza Junction 129","1771.41","238"
194,"Annapurna Bhavan 194","1689.42","239"
64,"Biryani House 64","1661.39","240"
210,"Curry Kingdom 210","1572.84","241"
247,"Tandoori Nights 247","1546.11","242"
11,"Punjabi Dhaba 11","1506.56","243"
7,"Dragon Wok 7","1494.43","244"
231,"Taste of Punjab 231","1491.62","245"
15,"Mumbai Masala 15","1491.48","246"
72,"Royal Tandoor 72","1489.40","247"
1,"Chai & Chat 1","1433.17","248"
192,"The Curry Leaf 192","1334.08","249"
298,"Madras Cafe 298","1295.28","250"
144,"Curry Kingdom 144","1287.38","251"
208,"Golden Spoon 208","1245.43","252"
39,"Delhi Darbar 39","1233.32","253"
258,"Chai & Chat 258","1215.24","254"
82,"Chai & Chat 82","1187.64","255"
75,"The Hungry Panda 75","1137.96","256"
178,"Kolkata Kitchen 178","1137.91","257"
22,"Rasoi Ghar 22","1116.89","258"
23,"Punjabi Dhaba 23","1091.50","259"
197,"Burger Factory 197","1080.04","260"
36,"Mughal Mahal 36","1072.45","261"
29,"The Curry Leaf 29","1037.13","262"
68,"Bombay Bistro 68","994.49","263"
30,"Mumbai Masala 30","990.89","264"
283,"Taste of Punjab 283","937.88","265"
165,"Caf̩ Masaledar 165","936.52","266"
5,"The Hungry Panda 5","887.08","267"
151,"The Curry Leaf 151","876.22","268"
153,"The Food Studio 153","872.21","269"
131,"Mughal Mahal 131","820.54","270"
2,"The Curry Leaf 2","681.24","271"
279,"Mughal Mahal 279","662.54","272"
241,"Biryani House 241","657.54","273"
282,"Chai & Chat 282","590.52","274"
216,"Flavours of India 216","582.41","275"
42,"The Food Studio 42","579.90","276"
152,"Urban Tadka 152","575.60","277"
113,"Delhi Darbar 113","568.12","278"
217,"Taste of Punjab 217","558.00","279"
10,"Curry Kingdom 10","474.81","280"
114,"Biryani House 114","452.08","281"
246,"Tandoori Nights 246","450.15","282"
262,"Urban Tadka 262","353.45","283"
273,"Madras Cafe 273","337.59","284"
76,"Biryani House 76","313.04","285"
271,"Chutney Express 271","309.44","286"
116,"Curry Kingdom 116","299.43","287"
106,"Punjabi Dhaba 106","233.75","288"
245,"Mughal Mahal 245","178.45","289"
189,"Bombay Bistro 189","172.20","290"
224,"Dragon Wok 224","137.26","291"
57,"Punjabi Dhaba 57","74.42","292"
65,"Chai & Chat 65","22.25","293"
